DrugName	CID
ALLOXAZINE	5372720
ALLYL ISOTHIOCYANATE	5971
ALLYLESTRENOL	235905
ALMITRINE	33887
ALMOREXANT	23727689
ALMOREXANT	11627655
ALMOREXANT	50878577
ALMOREXANT	73013357
ALMOTRIPTAN	123606
ALMOTRIPTAN MALATE	123607
ALNIDITAN	66004
ALOBRESIB	86281210
ALOE-EMODIN	10207
ALOGLIPTIN	11450633
ALOGLIPTIN BENZOATE	16088021
ALOIN	12305761
ALOIN	14989
ALOIN	313325
ALOIN	9866696
ALOIN	12305763
ALOIN	24212135
ALOIN	124427842
ALOIN	129628814
ALOISINE	3641059
ALOISINE A	448912
ALOSETRON	2099
ALOSETRON HYDROCHLORIDE	60758
ALOVUDINE	33039
ALOXISTATIN	65663
ALPELISIB	56649450
ALPHA-CYPERMETHRIN	2912
ALPHA-CYPERMETHRIN	3086172
ALPHA-CYPERMETHRIN	93357
ALPHA-CYPERMETHRIN	12617365
ALPHA-ENDOSULFAN	12309460
ALPHA-HYDROXY-MIDAZOLAM	107917
ALPHA-NAPHTHOFLAVONE	11790
ALPHA-PHELLANDRENE	7460
ALPHA-TERTHIENYL	65067
ALPHA-THUJAPLICIN	
ALPHAPRODINE HYDROCHLORIDE	120737
ALPIDEM	54897
ALPRAZOLAM	2118
ALPRENOLOL	2119
ALPRENOLOL HYDROCHLORIDE	66368
ALPROSTADIL	5280723
ALRESTATIN	2120
ALSEROXYLON	62816
ALSTERPAULLONE	5005498
ALT-2074	130165
ALT-801	
ALT-803	
ALTANSERIN	3033677
ALTENUSIN	6918469
ALTEPLASE	
ALTHIAZIDE	2122
ALTINICLINE	3036156
ALTIRATINIB	54576299
ALTISSIMACOUMARIN C	60201873
ALTISSIMACOUMARIN D	60201874
ALTISSIMACOUMARIN E	60201875
ALTISSIMACOUMARIN F	60201876
ALTRENOGEST	10041070
ALTRETAMINE	2123
ALTROPANE	6440180
ALTROPANE I-123	71587637
ALUMINUM ACETATE	8757
ALUMINUM CHLORIDE	24012
ALUMINUM PHOSPHATE	64655
ALVELESTAT	46861623
ALVERINE	3678
ALVERINE CITRATE	21718
ALVESPIMYCIN	5288674
ALVIMOPAN	5488548
ALVOCIDIB	5287969
ALVOCIDIB HYDROCHLORIDE	9910986
ALX-148	
AM-211	44158492
AM-461	44600763
AMA0076	68245749
AMANTADINE	2130
AMANTADINE HYDROCHLORIDE	64150
AMARANTH	13506
