DiseaseID	DrugID
EFO_0000311	CHEMBL1399
EFO_0000311	CHEMBL691
EFO_0000311	CHEMBL70
EFO_0000311	CHEMBL414804
EFO_0000311	CHEMBL2021430
EFO_0000311	CHEMBL3545376
EFO_0000311	CHEMBL84
EFO_0000311	CHEMBL225072
EFO_0000311	CHEMBL2362016
EFO_0000311	CHEMBL3301587
EFO_0000311	CHEMBL477772
EFO_0000311	CHEMBL1094636
EFO_0000311	CHEMBL476
EFO_0000311	CHEMBL450449
EFO_0000311	CHEMBL941
EFO_0000311	CHEMBL1201576
EFO_0000311	CHEMBL189963
EFO_0000311	CHEMBL3301612
EFO_0000311	CHEMBL451887
EFO_0000311	CHEMBL3301610
EFO_0000311	CHEMBL1720
EFO_0000311	CHEMBL1201568
EFO_0000311	CHEMBL483254
EFO_0000311	CHEMBL271227
EFO_0000311	CHEMBL53463
EFO_0000311	CHEMBL2108581
EFO_0000311	CHEMBL2368925
EFO_0000311	CHEMBL2403108
EFO_0000311	CHEMBL852
EFO_0000311	CHEMBL325041
EFO_0000311	CHEMBL1742982
EFO_0000311	CHEMBL1946170
EFO_0000311	CHEMBL601719
EFO_0000311	CHEMBL1743048
EFO_0000311	CHEMBL1789844
EFO_0000311	CHEMBL343448
EFO_0000311	CHEMBL1201748
EFO_0000311	CHEMBL11359
EFO_0000311	CHEMBL1201836
EFO_0000311	CHEMBL88
EFO_0000311	CHEMBL46
EFO_0000311	CHEMBL4297723
EFO_0000311	CHEMBL1201129
EFO_0000311	CHEMBL3353410
EFO_0000311	CHEMBL3545252
EFO_0000311	CHEMBL803
EFO_0000311	CHEMBL92
EFO_0000311	CHEMBL4297185
EFO_0000311	CHEMBL34259
EFO_0000311	CHEMBL688
EFO_0000311	CHEMBL1750
EFO_0000311	CHEMBL185
EFO_0000311	CHEMBL384467
EFO_0000311	CHEMBL2103875
EFO_0000311	CHEMBL3988900
EFO_0000311	CHEMBL1289601
EFO_0000311	CHEMBL3301589
EFO_0000311	CHEMBL3989908
EFO_0000311	CHEMBL3989958
EFO_0000311	CHEMBL2108738
EFO_0000311	CHEMBL1201583
EFO_0000311	CHEMBL1201566
EFO_0000311	CHEMBL481
EFO_0000311	CHEMBL1471
EFO_0000311	CHEMBL1201182
EFO_0000311	CHEMBL134
EFO_0000311	CHEMBL2110725
EFO_0000311	CHEMBL1024
EFO_0000311	CHEMBL1467
EFO_0000311	CHEMBL2218896
EFO_0000311	CHEMBL255863
EFO_0000311	CHEMBL3707227
EFO_0000311	CHEMBL1199324
EFO_0000311	CHEMBL1351
EFO_0000311	CHEMBL1201585
EFO_0000311	CHEMBL553025
EFO_0000311	CHEMBL1200953
EFO_0000311	CHEMBL1201567
EFO_0000311	CHEMBL3286830
EFO_0000311	CHEMBL1201302
EFO_0000311	CHEMBL1289926
EFO_0000311	CHEMBL2043437
EFO_0000311	CHEMBL46286
EFO_0000311	CHEMBL1173655
EFO_0000311	CHEMBL2146883
EFO_0000313	CHEMBL1200721
EFO_0000313	CHEMBL53463
EFO_0000313	CHEMBL1201785
EFO_0000313	CHEMBL852
EFO_0000313	CHEMBL3989514
EFO_0000313	CHEMBL428647
EFO_0000313	CHEMBL1200776
EFO_0000313	CHEMBL806
EFO_0000313	CHEMBL481
EFO_0000313	CHEMBL1201247
EFO_0000313	CHEMBL1201284
EFO_0000313	CHEMBL359744
EFO_0000313	CHEMBL409
EFO_0000313	CHEMBL1756
EFO_0000313	CHEMBL84
EFO_0000313	CHEMBL1200501
EFO_0000313	CHEMBL1096885
EFO_0000313	CHEMBL1607
EFO_0000313	CHEMBL1201784
EFO_0000313	CHEMBL671
EFO_0000318	CHEMBL1200778
EFO_0000318	CHEMBL1738
EFO_0000318	CHEMBL2103837
EFO_0000318	CHEMBL2105675
EFO_0000319	CHEMBL588
EFO_0000319	CHEMBL317052
EFO_0000319	CHEMBL159226
EFO_0000319	CHEMBL222863
EFO_0000319	CHEMBL45816
EFO_0000319	CHEMBL495
EFO_0000319	CHEMBL24
EFO_0000319	CHEMBL1095097
EFO_0000319	CHEMBL878
EFO_0000319	CHEMBL1372950
EFO_0000319	CHEMBL557555
EFO_0000319	CHEMBL2108304
EFO_0000319	CHEMBL628
EFO_0000319	CHEMBL2364968
EFO_0000319	CHEMBL1428
EFO_0000319	CHEMBL203266
EFO_0000319	CHEMBL3990033
EFO_0000319	CHEMBL503
EFO_0000319	CHEMBL1064
EFO_0000319	CHEMBL254219
EFO_0000319	CHEMBL435
EFO_0000319	CHEMBL1201745
EFO_0000319	CHEMBL585
EFO_0000319	CHEMBL546
EFO_0000319	CHEMBL1592
EFO_0000319	CHEMBL1201234
EFO_0000319	CHEMBL1008
EFO_0000319	CHEMBL842
EFO_0000319	CHEMBL1616951
EFO_0000319	CHEMBL499
EFO_0000319	CHEMBL1463345
EFO_0000319	CHEMBL354541
EFO_0000319	CHEMBL642
EFO_0000319	CHEMBL1165
EFO_0000319	CHEMBL1577
EFO_0000319	CHEMBL1290
EFO_0000319	CHEMBL1329455
EFO_0000319	CHEMBL559
EFO_0000319	CHEMBL456
EFO_0000319	CHEMBL578
EFO_0000319	CHEMBL723
EFO_0000319	CHEMBL77622
EFO_0000319	CHEMBL1480
EFO_0000319	CHEMBL1069
EFO_0000319	CHEMBL608
EFO_0000319	CHEMBL1054
EFO_0000319	CHEMBL2103827
EFO_0000319	CHEMBL1477
EFO_0000319	CHEMBL500
EFO_0000319	CHEMBL1487
EFO_0000319	CHEMBL75753
EFO_0000319	CHEMBL423
EFO_0000319	CHEMBL419213
