DrugName	CID
1,24,25-trihydroxyvitamin D3	9910685
1,24,25-trihydroxyvitamin D3	73950788
1,24,25-trihydroxyvitamin D3	156963181
1,24,25-trihydroxyvitamin D3	20839095
1,24-Dihydroxyvitamin D2	71300399
1,24-Dihydroxyvitamin D3	6437387
1,24-Dihydroxyvitamin D3	5283734
1,25-(OH)2-16-Ene-D3	6439178
1,3,4(2H)-Isoquinolinetrione	10640
1,3,4(2H)-Isoquinolinetrione, 2-(2-propenyl)-	11629882
1,3,5,6,8-Pentamethyl-1,10-phenanthrolinium	168131
1,3,5-TRINITROBENZENE	7434
1,3,5-Tris(4-hydroxyphenyl)-4-propyl-1H-pyrazole	5040063
1,3,5[10]-Estratriene-2,3-diol-17-one	
1,3,5[10]-Estratriene-3,4,17 beta-triol	
1,3-BUTADIENE	7845
1,3-DICHLOROBENZENE	10943
1,3-DINITROPYRENE	53230
1,3-Di-o-tolylguanidine	7333
1,3-Dibenzylurea	72889
1,3-Dicyclohexylurea	4277
1,3-Diethylxanthine	101420
1,3-Dimethylthiourea	2723631
1,3-Dinitrobenzene	7452
1,3-Diphenylguanidine	7594
1,3-Diphenylurea	7595
1,3-Dipropylxanthine	169317
1,3-Naphthalenediol	8601
1,3-diaminopropane	428
1,3-dimethoxy-2-(3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl)-5-pentylbenzene	
1,3-dioxodistiboxane 1-oxide	
1,3-propanediphosphonic acid	437081
1,4,5,6-tetrahydropyrimidin-2-amine	3287412
1,4-Anthraquinone	69457
1,4-BUTANEDIOL	8064
1,4-DICHLOROBENZENE	4685
1,4-DIMETHYLNAPHTHALENE	11304
1,4-DIOXANE	31275
1,4-Diaminoanthraquinone	31420
1,4-Dideoxy-O2-Sulfo-Glucuronic Acid	
1,4-Diethoxybenzene	67150
1,4-Dihydropyridine	104822
1,4-Dihydroxy-2-naphthoic acid	671
1,4-Dihydroxynaphthalene	11305
1,4-Dimethoxyanthracene	83107
1,4-NAPHTHOQUINONE	8530
1,4-Pentadien-3-one, 1,5-bis(2,3-dimethoxyphenyl)-, (1E,4E)-	1125825
1,4-bis(malimido)xylene	22022556
1,4-chrysenequinone_HL60_DOWN	
1,4-chrysenequinone_HL60_UP	
1,4-chrysenequinone_PC3_DOWN	
1,4-chrysenequinone_PC3_UP	
1,4-dideoxy-1,4-imino-d-arabinitol	451991
1,4-dimethylquinolin-2(1h)-one	97252
1,5-Benzothiazepine	20307232
1,5-DIAMINOANTHRAQUINONE	8513
1,5-Diaminopentane	273
1,5-isoquinolinediol	1340
1,5-isoquinolinediol_HL60_DOWN	
1,5-isoquinolinediol_HL60_UP	
1,6,7,8,9,11a,12,13,14,14a-Decahydro-1,13-dihydroxy-6-methyl-4H-cyclopent [f]oxacyclotridecin-4-one	
1,6-DIMETHYLNAPHTHALENE	11328
1,6-DINITROPYRENE	39184
1,6-Diisocyanatohexane	13192
1,6-HEXANEDIOL	12374
1,6-Hexanediamine	16402
1,7-Dimethyluric acid	91611
1,7-Phenanthroline	67473
1,8,9-Trihydroxyanthracene	10187
1,8-DINITROPYRENE	39185
1,9-Pyrazoloanthrone	8515
1,9-Pyrazoloanthrone(D2 Roche)	
1,N6-ETHENOADENINE	104994
1-(1-Naphthyl)-2-thiourea	736366
1-(1-Naphthyl)piperazine	1342
1-(1-adamantyl)-3-(4-methoxyphenyl)urea	3545369
1-(1-adamantylcarbonyl)piperazine	17233943
1-(2,5-Dimethoxy-phenyl)-piperazine	2758473
1-(2,6-Dichlorobenzylideneamino)guanidine	5353646
1-(2,6-Dichlorobenzylideneamino)guanidine	5702063
1-(2-(2-(DIFLUOROMETHOXY)PHENYL)-1-PHENYLETHYL)PIPERAZINE (ENANTIOMERIC MIX)	46890395
1-(2-(3-Methoxyphenyl)ethyl)phenoxy-3-(dimethylamino)-2-propanol	53446664
1-(2-Benzyloxy-phenyl)-piperazine	22615724
1-(2-Chloroethyl)-1-nitrosourea	75394
1-(2-Chlorophenyl)piperazine	415628
1-(2-Cyanophenyl)piperazine	2735875
1-(2-Ethoxyphenyl)piperazine	83357
1-(2-Fluorophenyl)piperazine	70529
1-(2-Methoxyphenyl)piperazine	1346
1-(2-Pyridyl)piperazine	94459
1-(2-bromoethyl)-1H-indole-2,3-dione	3542734
1-(2-hydroxy-4-nitrophenyl)-3-phenylurea	3618472
1-(2-iodoethyl)indole-2,3-dione	
1-(2-methoxyphenyl)propan-2-amine	159755
1-(2-phenylpropan-2-yl)piperidine	210768
1-(2-propylpentanoate) |A-d-glucopyranuronic acid	
1-(3,3-dimethyl-2-oxobutyl)-1H-indole-2,3-dione	3659236
1-(3,4-Dichlorobenzyl)-1H-indole-2,3-dione	1901244
1-(3,4-Dichlorophenyl)-3-hydroxyurea	97463
1-(3,4-dimethylphenyl)-2-phenylethane-1,2-dione	2427416
1-(3-Bromobenzyl)-1H-imidazole	10220337
1-(3-Chlorophenyl)piperazine	1355
1-(3-Fluorophenyl)piperazine	77418
1-(3-bromophenyl)-2-(tert-butylamino)propan-1-one	3031062
1-(3-methylphenyl)-3-[4-(1-oxo-2,3-dihydroisoindol-4-yl)phenyl]urea(D2 Roche)	
1-(3-nitrophenyl)piperazine	2760216
1-(4-Chlorobenzyl)-1H-indole-2,3-dione	277990
1-(4-Nitrobenzyl)-1H-imidazole	585819
1-(4-Phenoxyphenyl)piperazine	3017356
1-(4-Pyridyl)piperazine	70517
1-(4-amino-1,2,5-oxadiazol-3-yl)-N-[(2-ethoxyphenyl)methylideneamino]-5-pyrrolidin-1-yltriazole-4-carboxamide(D2 Roche)	
1-(4-bromobenzyl)-1H-imidazole	2989557
1-(4-bromophenyl)propan-2-amine	205668
1-(4-chlorobenzyl)-1H-imidazole	2779191
1-(4-chlorobenzyl)-1H-indole-3-carbaldehyde	872445
1-(4-chlorophenyl)-2-(4-methylphenyl)ethane-1,2-dione	2777298
1-(4-hexylphenyl)-3-(propylamino)propan-1-one	23635367
1-(4-hexylphenyl)prop-2-en-1-one	14899645
1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine	1229
1-(4-methoxyphenyl)-3-(5-methyl-1,3-thiazol-2-yl)urea	
1-(4-methylphenyl)sulfonyl-4-(3-nitropyridin-2-yl)piperazine	
1-(4-nitrophenyl)-2-phenylethane-1,2-dione	283893
1-(5-ISOQUINOLINESULFONYL)-2-METHYLPIPERAZINE	3542
1-(5-deoxypentofuranosyl)-5-fluoropyrimidine-2,4(1h,3h)-dione	3159
1-(6-methoxynaphthalen-2-yl)imidazole	
1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine	4722579
1-ACENAPHTHENOL	22750
1-AMINO-2,4-DIBROMOANTHRAQUINONE	6681
1-AMINO-4-HYDROXYANTHRAQUINONE	8323
1-AMINO-6-CYCLOHEX-3-ENYLMETHYLOXYPURINE	445967
1-AMINOANTHRAQUINONE	6710
1-Acetoxylycorine	443672
1-Aminocyclopropanecarboxylic acid	535
1-Aminocyclopropanol	148676
1-Aminoethylphosphinic acid	6365712
1-Aminooxy-3-aminopropane	65020
1-Aminopyrene	15352
1-Azakenpaullone	6538897
1-Azakenpaullone(D2 Roche)	
1-BROMOPROPANE	7840
1-Benzyl-1,2,3,4-tetrahydroisoquinoline	98468
1-Benzyl-1,4-dihydronicotinamide	95276
1-Benzyl-1H-indole-2,3-dione	264734
1-Benzyl-2-methylimidazole	83699
1-Benzyl-4-phenylpiperidin-4-ol	97333
1-Benzylimidazole	77918
1-Benzylpiperazine	75994
1-Benzylpiperidine	76190
1-Benzylpiperidine hydrochloride	201590
1-Bromobutane	8002
1-Butanethiol	8012
1-Butyl-3-(1-naphthoyl)indole	10471670
1-CHLORO-6-(4-HYDROXYPHENYL)-2-NAPHTHOL	6102690
1-CHLORONAPHTHALENE	7003
1-CHLOROPYRENE	36730
1-Chloro-4-(2,2-dichloro-1-(4-chlorophenyl)ethenyl)-3-(methylsulfonyl)benzene	119115
1-Chlorodibenzo-p-dioxin	37207
1-Chlorosucrose	20841988
1-D-glucopyranosyl cytosine	21678292
1-D-glucopyranosyl uracil	15042826
1-DEOXYNOJIRIMYCIN	29435
1-DOCOSANOL	12620
1-DODECANESULFONIC ACID	15192
1-DODECANOL	8193
1-Deazaadenosine	159738
1-Dodecyl-1H-indole-2,3-dione	1897797
1-Ethenylpyrene	146322
1-Ethyl-1-nitrosourea	12967
1-Ethylidenethiosemicarbazide	5463036
1-Ethynylpyrene	154905
1-HEPTANOL	8129
1-HYDROXY-1-THIO-GLYCEROL	5289354
1-HYDROXYAMINE-2-ISOBUTYLMALONIC ACID	6323374
1-HYDROXYPYRENE	21387
1-Hexanol	8103
1-Hydroxy-2-Amino-3-Cyclohexylpropane	444569
1-Hydroxybenzo(a)pyrene	25891
1-Hydroxyisoquinoline	10284
1-Hydroxymidazolam	107917
1-INDANOL	22819
1-Isopropylamino-3-phenoxy-propan-2-ol	3123920
1-METHYLNAPHTHALENE	7002
1-METHYLPHENANTHRENE	13257
1-Methyl-1H-indole-3-carbaldehyde	87894
1-Methyl-1H-indole-3-carbonitrile	2307681
1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine	444570
1-Methyl-2-phenylindole	77095
1-Methyl-3-nitro-1-nitrosoguanidine	135436526
1-Methyl-4-phenyl-2,3-dihydropyridinium	150459
1-Methyl-5-(3-pyridinyl)-2-pyrrolidinone	408
1-Methyl-DL-tryptophan	98112
1-Methylfluorene	15604
1-Methylhistamine	3614
1-Methylxanthine	80220
1-NAPHTHOL	7005
1-NAPHTHYLAMINE	8640
1-NITRONAPHTHALENE	6849
1-NITROPYRENE	21694
1-NM-PP1	5154691
1-Naphthalenecarboxylic acid, 2-[(phenylsulfonyl)amino]-	11723962
1-Naphthalenemethylamine	8355
1-Naphthyl glucuronide	114851
1-Naphthyl isothiocyanate	11080
1-Nitrosopiperidine	7526
1-Nitrosopyrene	104777
1-Nonanol	8914
