DrugName	CID
(10S,11R)-10-[[(3-hydroxyphenyl)methyl-methylamino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637950
(10S,11R)-10-[[(3-hydroxyphenyl)methyl-methylamino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637949
(10S,11R)-10-[[(4-fluorophenyl)methyl-methylamino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637925
(10S,11R)-10-[[(4-hydroxyphenyl)methyl-methylamino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638101
(10S,11R)-10-[[(4-hydroxyphenyl)methyl-methylamino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638100
(10S,11R)-10-[[1,3-benzodioxol-5-ylmethyl(methyl)amino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637857
(10S,11R)-10-[[3,4-dihydro-2H-1,5-benzodioxepin-6-ylmethyl(methyl)amino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637795
(10S,11R)-10-[[benzyl(methyl)amino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638196
(10S,11R)-10-[[cyclopropylmethyl(methyl)amino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11,16-dimethyl-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54638213
(10S,11R)-10-[[cyclopropylmethyl(methyl)amino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54638211
(10S,11R)-10-[[cyclopropylmethyl(methyl)amino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637900
(10S,11R)-13-[(2R)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-(methylaminomethyl)-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54637994
(10S,11R)-13-[(2R)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54637663
(10S,11R)-13-[(2R)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54638109
(10S,11R)-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637787
(10S,11R)-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638011
(10S,11R)-13-[(2S)-1-hydroxypropan-2-yl]-10-[[(3-methoxyphenyl)methyl-methylamino]methyl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637864
(10S,11R)-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54637661
(10S,11R)-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54638107
(10S,11R)-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(propyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637828
(10S,11R)-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638010
(10S,11S)-10-[(dimethylamino)methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11,16-dimethyl-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	56835340
