DiseaseID	DrugCID
C0006848	146156144
C0006848	146679386
C0006848	5702099
C0006848	24840667
C0006848	11286230
C0006848	5311331
C0006848	4568
C0006848	44424838
C0006848	6420032
C0006848	60196358
C0006848	16219709
C0006849	5386092
C0006849	5311331
C0006849	23863720
C0006849	14956
C0006849	73438937
C0006849	14960
C0006849	2812
C0006849	44424838
C0006849	16667679
C0006849	71311649
C0006849	129627734
C0006849	102090452
C0006849	134719018
C0006849	91827561
C0006849	16219709
C0006849	1972
C0006849	4568
C0006849	60196358
C0006849	139246982
C0006849	146679386
C0006849	73951506
C0006849	6420032
C0006849	46783793
C0006849	50990393
C0006849	73952271
C0006849	6433272
C0006849	53486284
C0006849	11286230
C0006849	44421047
C0006849	3823
C0006849	118705500
C0006849	47576
C0006849	5280965
C0006849	133124921
C0006849	162343947
C0006849	5702077
C0006849	456201
C0006849	146156144
C0006849	138403272
C0006849	3365
C0006849	44399170
C0006849	5702099
C0006849	24840667
C0006849	9919339
C0006849	145705939
C0006849	135391140
C0007102	6256
C0007102	6323266
C0007102	3385
C0007115	5819
C0007115	5920
C0007115	31703
C0007117	24775005
C0007117	24776445
C0007131	5672
C0007131	135410875
C0007131	123631
C0007131	73265388
C0007131	135423438
C0007131	49806720
C0007131	148124
C0007131	60750
C0007131	44424639
C0007131	71296871
C0007131	36314
C0007131	13200033
C0007131	60780
C0007131	5311497
C0007131	176870
C0007134	5565
C0007134	5284616
C0007134	10113978
C0007134	86277830
C0007134	5329102
C0007134	6450551
C0007134	71433778
C0007134	163359784
C0007134	132274070
C0007134	216239
C0007134	71312019
C0007134	23308413
C0007134	129317846
C0007134	54608508
C0007134	137295275
C0007134	53486199
C0007134	145712265
C0007134	86287409
C0007134	23724530
C0007134	148191
C0007134	6918289
C0007134	18293306
C0007134	25102847
C0007134	6442177
C0007137	84068
C0007137	155903698
C0007137	5460769
C0007137	5360373
C0007137	456190
C0007194	4946
C0007780	54676038
C0007780	54678486
C0007780	60606
C0007820	5504
C0007820	3783
C0007847	84068
C0007847	60700
C0007847	456190
C0007847	155903698
C0007847	5460769
C0007847	5360373
C0007947	5344
C0007947	9570985
C0007947	54680690
C0007947	4583
C0007947	54675783
C0007947	447043
C0007947	19649
C0007947	2764
C0007947	4539
C0007947	5479530
C0007947	3000226
C0007947	54671203
C0007947	23679441
C0007947	46173365
C0008049	135398742
C0008049	135398513
C0008149	3000226
C0008149	54671203
C0008311	33255
C0008311	37768
C0008311	130313
C0008311	3000226
C0008311	146157093
C0008311	6032
C0008311	3467
C0008311	6249
C0008311	441305
C0008311	72395
C0008311	12560
C0008312	31401
C0008325	73303
C0008350	31401
C0008350	10133
C0008350	221493
C0008354	54671203
C0008354	54675783
C0008354	3000226
C0008513	5215
C0008526	6215
C0008582	47576
C0008582	73951506
C0008582	468595
C0008582	3823
C0008582	5702077
C0008582	456201
C0008677	3083544
C0008677	3182
C0008677	5487427
C0008677	10184665
C0009062	117590639
C0009062	70678896
C0009062	23305223
C0009062	131668620
C0009062	132472265
C0009062	135391138
C0009062	102580518
C0009062	156620959
C0009062	46174142
C0009062	91885501
C0009062	151383
C0009062	10034073
C0009088	2519
C0009088	5358
C0009088	8223
C0009088	10531
C0009088	4763
C0009186	118705500
C0009186	5702077
C0009186	134719018
C0009186	145705939
C0009186	53486284
C0009186	46783793
C0009186	50990393
C0009186	71311649
C0009186	139246982
C0009186	468595
C0009186	3823
C0009186	44421047
C0009186	47576
C0009186	44399170
C0009186	73438937
C0009186	135391140
C0009186	16667679
C0009186	5280965
C0009186	14956
C0009186	73951506
C0009186	1972
C0009186	5386092
C0009186	23863720
C0009186	9919339
C0009186	456201
C0009186	91827561
C0009324	5755
C0009324	5339
