TTD_ID	CID
D00LYI	135461039
D00LYW	132630
D00LZJ	44452506
D00LZM	
D00LZO	
D00LZS	16725937
D00LZY	
D00MAM	
D00MAN	4628
D00MBG	2921148
D00MBR	
D00MBY	16042343
D00MCA	
D00MCG	16203946
D00MCJ	5329369
D00MCY	10075732
D00MDP	466151
D00MEM	10099186
D00MET	
D00MEV	160115
D00MFA	134601
D00MFR	44419695
D00MFV	44572293
D00MFW	
D00MFY	9838551
D00MFZ	44578588
D00MGO	
D00MGT	5311377
D00MHP	128355
D00MIF	
D00MIG	
D00MIM	
D00MIN	657298
D00MIX	
D00MJG	73755234
D00MJI	
D00MLE	11407345
D00MLJ	
D00MLN	44584675
D00MLQ	
D00MLW	69286
D00MLX	19767005
D00MMV	
D00MNE	4063835
D00MNG	
D00MPA	9834240
D00MPM	442289
D00MPX	
D00MQS	9926143
D00MRH	
D00MSP	
D00MSU	22254580
D00MTG	
D00MUC	
D00MUJ	10018850
D00MVK	
D00MWE	
D00MXN	25019940
D00MXR	
D00MXS	5281703
D00MXW	11609954
D00MYQ	4976
D00MYT	3000715
D00MYW	46866319
D00MZC	
D00MZD	135509116
D00MZK	9911469
D00MZS	124579
D00NAX	4926
D00NBF	
D00NBJ	
D00NBW	
D00NCJ	
D00NCL	46836562
D00NDF	
D00NEE	44413628
D00NEK	44405867
D00NEL	
D00NFW	16109432
D00NGN	59823
D00NIT	9810140
D00NIV	
D00NIX	46906702
D00NJE	15991542
D00NJJ	656511
D00NJL	2799
D00NKB	5546
D00NLD	9881526
D00NNC	3305
D00NNI	
D00NNP	44287426
D00NOG	6442190
D00NOH	9842229
D00NOL	
D00NOP	
D00NOY	
D00NPE	
D00NPN	
D00NPO	
D00NPP	60855
D00NPT	130956
D00NQN	
D00NQQ	15667210
D00NQV	5041
D00NRB	6602241
D00NRJ	130169
D00NSA	169160
D00NSD	
D00NSM	
D00NST	44452811
D00NTR	
D00NTW	
D00NUG	
D00NUK	2837872
D00NUO	
D00NVC	44355523
D00NVM	9952884
D00NVO	60432
D00NVU	
D00NVX	132706
D00NWF	5730
D00NWT	
D00NWV	
D00NXA	2776266
D00NXM	46836890
D00NXT	
D00NYG	2303947
D00NYJ	42642648
D00NYL	
D00NYT	10946795
D00NZL	11955855
D00NZP	44447368
D00OAB	
D00OAN	123662
D00OAU	9869857
D00OAY	56840894
D00OBS	44559159
D00OCB	984170
D00OCC	9948345
D00OCS	44387500
D00OCV	44404892
D00ODC	
D00ODF	
D00ODL	11757476
D00ODN	11347708
D00ODY	
D00OEG	
D00OFN	44420099
D00OFV	3035433
D00OGX	
D00OHP	
D00OJL	
D00OKK	
D00OLA	44409453
D00OLH	10881256
D00OLX	46232855
D00OLY	
D00OMJ	
D00OMV	131888670
D00OMW	5322194
D00ONE	
D00ONN	
D00OON	
D00OOZ	16202132
D00OPO	44382842
D00OPX	
D00OQL	3852139
D00ORM	28971834
D00ORZ	
D00OSB	44400676
D00OTC	5385086
D00OTH	49541
D00OTL	9930049
D00OTM	
