DrugID	CID	
CHEMBL1201583	
CHEMBL1201577	
CHEMBL235668	6323266
CHEMBL2356097	62937
CHEMBL419213	5362118
CHEMBL730	4510
CHEMBL1557	65340
CHEMBL926	36811
CHEMBL471737	132999
CHEMBL1168	5362129
CHEMBL842	2720
CHEMBL1148	41781
CHEMBL3137301	9811834
CHEMBL1069	60846
CHEMBL1200659	5388961
CHEMBL1237	5362119
CHEMBL435	3639
CHEMBL393220	60822
CHEMBL1095097	443872
CHEMBL434	3779
CHEMBL1711	5807
CHEMBL945	16231
CHEMBL1487	60823
CHEMBL2145077	3045381
CHEMBL1200418	65324
CHEMBL1201593	
CHEMBL344159	216237
CHEMBL35	3440
CHEMBL2097081	
CHEMBL456	3278
CHEMBL578	5388962
CHEMBL59	681
CHEMBL13	4171
CHEMBL723	2585
CHEMBL20	1986
CHEMBL1200574	5234
CHEMBL136478	
CHEMBL1055	2732
CHEMBL1560	44093
CHEMBL1072	2471
CHEMBL1491	2162
CHEMBL1200402	60496
CHEMBL1751	2724385
CHEMBL878	4170
CHEMBL1014	2540
CHEMBL585	5546
CHEMBL406	3702
CHEMBL1393	5833
CHEMBL1398126	68540
CHEMBL384467	5743
CHEMBL2021430	16961
CHEMBL635	5865
CHEMBL389621	5754
CHEMBL1201302	9400
CHEMBL650	6741
CHEMBL1370	5281004
CHEMBL1201581	
CHEMBL1743087	
CHEMBL1201831	
CHEMBL131	5755
CHEMBL1201607	
CHEMBL1201835	
CHEMBL1201438	
CHEMBL2028663	44462760
CHEMBL2108738	
CHEMBL3187723	10288191
CHEMBL1201558	
CHEMBL2105741	50992434
CHEMBL1789844	
CHEMBL2105729	44516822
CHEMBL1229517	42611257
CHEMBL476	135398738
CHEMBL3137343	
CHEMBL3301612	50922675
CHEMBL1201561	
CHEMBL635	5865
CHEMBL131	5755
CHEMBL1650	5745
CHEMBL2108027	
CHEMBL1069	60846
CHEMBL414357	16157882
CHEMBL1073	3478
CHEMBL2107869	
CHEMBL1200711	9831414
CHEMBL595	4829
CHEMBL419213	5362118
CHEMBL1592	54892
CHEMBL1014	2540
CHEMBL1237	5362119
CHEMBL1201011	54891
CHEMBL529888	12818200
CHEMBL39736	2468
CHEMBL1589	1989
CHEMBL817	5503
CHEMBL2107841	
CHEMBL142703	6918537
CHEMBL1422	4369359
CHEMBL4594217	66653479
CHEMBL1697838	9565
CHEMBL672	3339
CHEMBL1200692	130881
CHEMBL1017	65999
CHEMBL1561	441314
CHEMBL1566	444254
CHEMBL1201631	
CHEMBL1491	2162
CHEMBL1201630	
CHEMBL266481	44278361
CHEMBL427216	3475
CHEMBL472	3488
CHEMBL383634	91610
CHEMBL1272	65981
CHEMBL237500	10096344
CHEMBL3039507	24831714
CHEMBL498	2727
CHEMBL690	16759173
CHEMBL1480	3333
